,Star_name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
1,2MASS J00040288-6410358,192,19,1.63
3,2MASS J00242463-0158201,37.7,79,1.09
5,2MASS J00274197+0503417,236,31,1.44
7,2MASSW J0030300-145033,87.2,54,0.98
8,2MASS J00332386-1521309 [de],131,29,1.43
9,2MASS J00345157+0523050,31,42,0.94
10,2MASS 0036+1821,28.6,42,0.94
11,2MASSW J0045214+163445,57,23,1.62
12,WISEP J004701.06+680352.1 [fr],40,12,1.3
13,2MASS J00501994-3322402 [de],34,40,0.94
15,2MASS J00584253-0651239 [de],96,29,1.43
16,CFBDS J005910.90–011401.3,30,23,0
17,2MASSI J0103320+193536,70,52,0.98
18,SDSSp J010752.33+004156.1 [de],51,52,0.98
19,2MASSI J0117474-340325 [de],163,20,1.62
20,2MASS J01415823-4633574 [de],130,20,1.61
21,SDSS J015141.69+124429.6,70,47,0.97
25,SDSS J020742.48+000056.2 [de],111,47,0.97
26,2MASS J02103857-3015313,101,15,1.53
27,2MASS J02340093-6442068,155,20,1.62
28,2MASS J02411151-0326587 [de],152,27,1.41
29,2MASS J02431371−2453298,35,33,0.99
30,LP 771-21,53,78,1.08
32,Teegarden's star,12.578,80,1.27
33,2MASS J02535980+3206373,184,65,1.9
34,WISE J0254+0223,24,65,1.9
35,DEN 0255-4700,16.2,80,0.97
36,2MASS J03185403-3421292 [de],45,49,0.97
37,2MASS J03205965+1854233,47,88,1.15
38,2MASS J03231002-4631237,192,23,1.66
39,SDSS J032553.17+042540.1,59,45,0.95
40,2MASS J03264225-2102057 [de],80,18,1.3
41,2MASS J03284265+2302051 [de],98,54,0.98
42,2MASS J03341218-4953322,27.0,73,1.04
43,LP 944-20,20.9,73,1.43
44,2MASP J0345432+254023,88,74,1.05
45,Teide 1,380,55,3.78
46,2MASS J03510004-0052452,48,102,1.27
47,2MASS J03552337+1133437,29.8,20,1.32
49,2MASS J04151954−0935066,18.6,30,0.95
51,2MASS J04285096-2253227 [de],85,80,1.09
52,2MASS J04351612-1606574,34,100,1.26
53,2MASS J04362788-4114465,142,39,1.97
54,2MASS J04390101-2353083 [de],29.5,48,0.97
55,2MASS J04414489+2301513,470,19,0
56,2MASS J04433764+0002040,82,22,1.78
57,2MASS J04455387-3048204 [de],42,64,1.00
58,2MASS J04510093-3402150 [de],69,1.04,72
59,2MASS J05002100+0330501 [de],44,64,1.00
60,2MASS J05012406-0010452 [de],64,21,1.38
61,2MASS J05160945-0445499 [de],73,47,0.97
62,2MASS J0523−1403,40,68,1.01
63,2MASS 0532+8246,81,83,0
64,SDSS J053951.99-005902.0,41.62,61,1.01
66,LSR 0602+3910 [de],34.6,28,1.41
67,2MASS J06085283-2753583,102,38,1.51
68,WISEP J061135.13-041024.0A,69,65,0
69,WISEP J061135.13-041024.0B,69,53,0
70,2MASS J06244595-4521548 [de],39,56,0.99
71,2MASS J06411840-4322329 [de],65,67,1.01
72,DENIS-P J0652197-253450 [de],51,75,1.05
74,2MASS J07075327-4900503,60,72,1.03
75,UGPS J072227.51-054031.2,13.4,26,0.98
76,2MASSI J0727182+171001 [de],29.6,41,0.94
77,2MASS J07290002-3954043 [de],25.8,37,0.94
78,SDSS J074201.41+205520.5 [de],49,43,0.94
80,DENIS-P J0751164-253043 [de],55,71,1.03
81,2MASS J07522390+1612157,60,2.01,68
82,DENIS J081730.0-615520,16.1,44,0.94
83,DENIS J082303.1−491201A,67,44,0
84,DENIS J082303.1−491201B,67,28,0
85,2MASS J08251968+2115521 [de],35,52,0.98
86,SDSSp J083008.12+482847.4 [de],43,48,0.99
87,LHS 2021,55,88,1.15
88,SDSS J083048.80+012831.1 [de],77,46,0.96
89,2MASSI J0835425-081923 [de],23.53,62,1.00
90,2MASSI J0847287-153237 [de],43,64,1.00
91,2MASS J08533619-0329321,27.6,77,1.07
92,2MASSI J0859254-194926 [de],50,50,0.98
94,2MASSI J0937347+293142,20.0,42,0.94
95,2MASS 0939−2448,17.4,32,0.95
96,2MASS J09490860-1545485 [de],59,49,0.96
97,2MASS J10073369-4555147,46,44,0.94
98,2MASSI J1010148-040649 [de],55,51,0.98
101,2MASS J10224821+5825453 [de],60,27,1.41
102,2MASSW J1036530-344138 [de],53,49,0.97
103,2MASS J1047538+212423 [de],34.4,42,0.94
104,DEN 1048-3956,13.15,77,1.07
105,Luhman 16B,6.516,43,1.02
106,Luhman 16A,6.516,40,1.01
107,DENIS-P J1058.7−1548,49,64,1.00
108,TWA 28,180,36,2.39
109,Cha 110913-773444,163,8,1.8
110,OTS 44,554,15,0
111,SDSS J111010.01+011613.1,63,9,1.24
112,2MASS J11145133−2618235,18.2,33,0.96
113,TWA 26,137,30,2.20
115,2MASS J11544223-3400390 [de],129,37,1.50
116,2MASSW J1155395-372735 [de],31,64,1.00
119,2MASS J12074836-3900043,217,17,1.71
120,2MASSI J1217110-031113 [de],36,42,0.94
123,2M 1237+6526,45.6,41,0.94
125,TWA 29,262,2.00,25
126,SDSSp J125453.90-012247.4 [de],38,47,0.98
127,Kelu-1A,61,63,0.98
128,Kelu-1B,61,58,0.98
129,2MASS J13204427+0409045,101,67,1.01
